,구동,상권명,분기당매출,새벽,오전,점심,오후,저녁,야간,남성,여성,주중,주말,10대,20대,30대,40대,50대,60대이상,점포수
303,강남구 역삼동,역삼역 8번,35488543,4,17,37,26,10,7,60,40,28271804,7216739,61291,5796456,10330651,7108075,2256519,552377,11
304,강남구 율현동,아래방죽마을공원(율현초등학교),53420058,0,10,50,25,15,0,40,60,38133846,15286212,40841,7158848,17240746,11307129,5945286,6470385,6
305,강남구 율현동,아래방죽마을공원(율현초등학교),65944833,0,12,50,25,13,0,45,55,45159085,20785748,116688,6617142,20378084,18101025,10050886,5760246,6
306,강남구 율현동,아래방죽마을공원(율현초등학교),56355944,0,13,47,27,13,0,45,55,39503770,16852174,186701,6520561,15982843,13591893,7557923,6175162,6
307,강남구 율현동,아래방죽마을공원(율현초등학교),55846014,0,12,53,24,12,0,50,51,40823520,15022494,105019,7364220,17458953,13863776,5963956,4604533,3
308,강남구 율현동,윗방죽마을공원,390709328,0,13,47,21,18,2,45,55,294413358,96295970,547000,83552386,133315429,67167401,21213805,14275559,12
309,강남구 율현동,윗방죽마을공원,520551028,0,14,46,18,19,4,46,54,387685793,132865235,1746263,112027563,181868870,91586887,27130799,16669199,12
310,강남구 율현동,윗방죽마을공원,487022310,0,16,47,19,16,2,43,57,375275013,111747297,1639118,110342766,177897672,76847037,19227878,13204868,12
311,강남구 율현동,윗방죽마을공원,497982318,0,17,45,19,15,3,46,54,366007319,131974999,5684284,128141490,158412556,76007741,33196291,11302588,12
312,강남구 율현동,한국교통안전공단 강남자동차검사소,16348873,0,11,59,30,0,0,87,13,15347369,1001504,0,1240602,6401504,4457143,1962406,1127820,3
313,강남구 율현동,한국교통안전공단 강남자동차검사소,29224060,0,19,58,23,1,0,57,43,27803008,1421052,0,1832870,8025929,7000123,3864206,7688902,3
314,강남구 율현동,한국교통안전공단 강남자동차검사소,20571429,0,3,62,32,3,0,60,40,19624061,947368,0,1997110,2931445,5869107,5046348,2846216,3
315,강남구 율현동,한국교통안전공단 강남자동차검사소,21153383,0,8,65,28,0,0,65,35,21153383,0,0,2989260,4929406,6431341,3552948,2212834,3
316,강남구 청담동,경기고교사거리(경기고교앞사거리),48887955,0,33,47,20,0,0,49,51,42798858,6089097,0,10210656,18438212,12639512,2836487,2025679,3
317,강남구 청담동,경기고교사거리(경기고교앞사거리),91289748,0,32,47,21,0,0,47,54,77661100,13628648,611946,18788147,34764145,21308338,6327336,3655327,3
318,강남구 청담동,경기고교사거리(경기고교앞사거리),87991780,0,34,44,23,0,0,57,43,73980082,14011698,748262,16749709,30745320,22998416,5659000,3703341,3
319,강남구 청담동,경기고교사거리(경기고교앞사거리),77460233,0,38,44,18,0,0,60,40,67423849,10036384,1127791,17452719,28165617,16995215,6208974,4403473,3
320,강남구 청담동,언북초등학교,45911336,0,7,23,36,34,1,30,70,33786035,12125301,112030,19448687,10965313,8362173,5050015,593171,3
321,강남구 청담동,언북초등학교,63708061,0,8,28,37,27,1,28,72,47302477,16405584,746205,21542675,16479407,12937064,5690347,1146491,3
322,강남구 청담동,언북초등학교,55020233,0,9,27,39,25,0,29,71,39938497,15081736,740875,21821169,11806031,8918217,5271272,957274,3
323,강남구 청담동,언북초등학교,62838466,0,8,24,37,30,1,29,71,45719455,17119011,623615,24278316,12797951,11745268,5623188,1119307,3
324,강남구 청담동,영동대교남단교차로,132788719,0,21,45,23,10,0,48,52,119462674,13326045,489749,36679773,41066075,21301058,10846152,4523596,15
325,강남구 청담동,영동대교남단교차로,172030533,0,21,43,23,12,0,46,54,154588693,17441840,351481,39473573,58111448,28728139,15948527,10553639,15
326,강남구 청담동,영동대교남단교차로,208550373,0,19,43,25,13,0,53,47,187924273,20626100,433528,39662631,62117850,47118666,19486736,8312978,16
327,강남구 청담동,영동대교남단교차로,261614115,0,25,45,22,8,0,45,55,231592819,30021296,530574,63707360,83725992,43035177,24559060,8074317,24
328,강남구 청담동,청담근린공원,26432639,0,4,52,21,23,0,33,67,22074555,4358084,327848,8503929,4953675,3403297,3321335,878290,3
329,강남구 청담동,청담근린공원,37969454,0,4,44,22,23,8,32,68,31045525,6923929,353731,10176532,8016758,4239599,5176842,4314083,3
330,강남구 청담동,청담근린공원,29710836,0,4,52,19,20,6,32,68,25204358,4506478,537787,7995764,5953901,3426304,3996013,3666726,3
331,강남구 청담동,청담근린공원,30843926,0,6,55,14,18,7,40,60,26518626,4325300,152421,7779211,8298880,2505741,3549391,3750126,3
332,강남구 청담동,청담사거리(청담동명품거리),1338756586,0,13,38,27,22,1,36,65,1020253086,318503500,3948729,350541158,422698329,181873732,117839420,49100754,68
333,강남구 청담동,청담사거리(청담동명품거리),1649279949,0,14,36,28,20,2,35,65,1248559720,400720229,6837342,435848481,516870624,233841197,146393011,65082956,71
334,강남구 청담동,청담사거리(청담동명품거리),1433334798,0,14,36,30,20,1,38,62,1072371123,360963675,9531948,387577888,425348222,195472462,151661692,57557019,70
335,강남구 청담동,청담사거리(청담동명품거리),1519678375,0,12,36,28,22,2,38,62,1119128150,400550225,11763878,421398927,467972838,201212793,137185586,60873268,66
336,강남구 청담동,청담초등학교,5860290,0,7,44,48,2,0,32,68,4473228,1387062,0,905103,2091209,996592,1066843,307147,3
337,강남구 청담동,청담초등학교,3143350,0,16,49,35,0,0,35,65,2581338,562012,0,277739,1663165,493395,179713,529338,1
338,강남구 청담동,청담초등학교,437847,0,22,37,15,25,0,63,37,437847,0,0,0,0,405172,0,32675,1
339,강남구 청담동,청담초등학교,1176305,0,3,35,56,7,0,32,68,1110955,65350,0,228726,379031,490128,0,39210,3
340,강남구 청담동,학동사거리,3403586971,0,5,28,35,28,4,32,68,2247861460,1155725511,17030781,1157671560,1051152612,470479652,265073575,90983889,76
341,강남구 청담동,학동사거리,4793471058,1,5,28,31,28,7,34,66,3171672236,1621798822,33430728,1620961384,1525531965,574954501,411717955,140047216,74
342,강남구 청담동,학동사거리,4211907681,0,6,31,33,26,4,35,65,2819554300,1392353381,41287142,1393088117,1262992605,515272850,338006557,146945536,68
343,강남구 청담동,학동사거리,3919264618,2,6,28,30,27,9,37,63,2598734510,1320530108,44156525,1278978076,1139623488,504963713,291179721,156255955,65
