,구동,상권명,분기당매출,새벽,오전,점심,오후,저녁,야간,남성,여성,주중,주말,10대,20대,30대,40대,50대,60대이상,점포수
157,강남구 삼성동,삼성역,10527235839,0,17,37,26,18,1,40,60,8148995833,2378240006,51360023,3043182656,3437531905,1698709474,829074808,248816040,155
158,강남구 삼성동,삼성역,9044118912,0,17,37,27,19,1,41,59,6941220821,2102898091,72070334,2581952419,2833665983,1643426332,693706783,195032980,150
159,강남구 삼성동,삼성역,10877450926,0,17,38,26,19,0,41,59,8411124603,2466326323,126448093,3060866948,3467165368,1772311167,781468517,237541322,156
160,강남구 삼성동,삼성중앙역,1130567295,0,16,45,21,15,3,52,48,955368759,175198536,6541047,184708059,322601690,212192815,112655404,40301255,62
161,강남구 삼성동,삼성중앙역,1498899918,0,17,42,21,17,3,52,48,1280721181,218178737,12372303,268995628,436652234,270075484,142533710,65512453,68
162,강남구 삼성동,삼성중앙역,1489457304,1,20,43,20,14,3,54,46,1279365127,210092177,11604278,284783468,404135554,256983773,138972573,62625509,69
163,강남구 삼성동,삼성중앙역,1748638831,1,17,41,22,12,7,52,48,1495462420,253176411,10405800,323272128,465404997,287234501,152651295,146815347,72
164,강남구 삼성동,삼성중앙역 7번,10360386,0,19,36,23,16,7,32,68,8230067,2130319,0,2543397,3140042,2906657,965912,203394,5
165,강남구 삼성동,삼성중앙역 7번,15195430,0,9,38,23,20,10,55,45,12533996,2661434,79891,3206579,3393493,4530647,1670633,1770859,6
166,강남구 삼성동,삼성중앙역 7번,17309527,0,17,42,22,16,4,57,44,14977903,2331624,0,3502087,4640211,5351007,1539351,1478489,6
167,강남구 삼성동,삼성중앙역 7번,9103206,0,19,55,20,6,0,55,45,8444566,658640,35734,1600952,1968959,3178590,1096553,307749,3
168,강남구 삼성동,언주중학교,5367953,0,10,44,31,16,0,27,73,4829436,538517,95114,2418992,1823994,462292,287815,36367,4
169,강남구 삼성동,언주중학교,12165460,0,5,37,34,24,0,29,71,10930503,1234957,22380,3137189,3015805,4552045,1299256,138785,6
170,강남구 삼성동,언주중학교,11083460,0,12,42,31,15,0,25,75,10031613,1051847,88091,3007367,2968495,3491612,1049752,327080,6
171,강남구 삼성동,언주중학교,9740098,0,15,42,32,9,2,29,71,8024694,1715404,220974,3459773,2884076,2169074,672000,334201,6
172,강남구 삼성동,청담역 12번,41243233,0,21,42,26,12,0,39,61,29106424,12136809,154031,9268053,15562025,4255037,5107384,2609400,3
173,강남구 삼성동,청담역 12번,56410745,0,21,35,30,13,0,44,56,34984572,21426173,278839,12071665,18739453,6174034,9821470,3926274,3
174,강남구 삼성동,청담역 12번,49815407,0,25,40,22,12,1,42,58,35320641,14494766,442611,13753224,15393383,5931115,5400834,3184124,3
175,강남구 삼성동,청담역 12번,46326995,0,27,36,25,12,0,41,59,31063898,15263097,161337,10996491,17951762,4925955,5383179,3363116,3
176,강남구 삼성동,코엑스,729743883,0,9,36,30,24,1,43,57,514009899,215733984,7391800,164035549,221088953,111644720,75425047,33838514,27
177,강남구 삼성동,코엑스,884744494,0,12,36,29,22,2,44,57,639082751,245661743,8276834,204974005,263689584,128254598,86187905,36407823,27
178,강남구 삼성동,코엑스,700649173,0,11,38,29,21,1,45,55,521045666,179603507,8265427,170455139,194124684,99378856,67544674,25156318,29
179,강남구 삼성동,코엑스,1067525989,0,10,36,30,23,1,39,61,755157801,312368188,21850147,277002192,296230464,153613727,93788315,36839326,30
180,강남구 삼성동,포스코사거리,5495676693,0,20,43,24,12,1,51,49,4664344678,831332015,15611344,947656351,1534953889,992530178,515228414,174656811,208
181,강남구 삼성동,포스코사거리,7176554279,0,20,44,23,13,1,49,51,6116812571,1059741708,22378591,1291304723,1949165415,1238399193,649245361,394479153,211
182,강남구 삼성동,포스코사거리,6861998425,0,21,42,23,12,1,50,50,5866206684,995791741,17561751,1260624885,1773671727,1248803320,609817107,286311564,212
183,강남구 삼성동,포스코사거리,7866513841,0,21,41,23,13,2,50,50,6709542907,1156970934,26464339,1511384268,1996061266,1320246987,692178686,235376952,206
184,강남구 세곡동,대왕초등학교(세곡동사거리서남측),599361,0,72,28,0,0,0,19,81,599361,0,0,0,78275,342173,0,0,1
185,강남구 세곡동,대왕초등학교(세곡동사거리서남측),2846965,0,0,43,57,0,0,3,97,2846965,0,0,0,156550,722364,1968051,0,3
186,강남구 세곡동,대왕초등학교(세곡동사거리서남측),2113418,0,0,93,7,0,0,0,100,2113418,0,0,0,0,1129392,984026,0,2
187,강남구 세곡동,대왕초등학교(세곡동사거리서남측),3063898,0,0,91,8,2,0,2,99,3063898,0,0,0,44728,2035144,984026,0,2
188,강남구 세곡동,은곡마을(은곡마을공원),281534724,0,24,37,23,16,1,41,59,176793747,104740977,2164071,37269045,70250901,80504120,37795949,19612380,6
189,강남구 세곡동,은곡마을(은곡마을공원),334682127,0,27,32,24,16,1,42,58,198972101,135710026,1017515,41098508,95205828,92498727,46931686,15131014,4
190,강남구 세곡동,은곡마을(은곡마을공원),371136621,0,26,34,20,18,2,39,61,224087408,147049213,4268997,43050203,102527173,98407376,60011940,18408034,3
191,강남구 세곡동,은곡마을(은곡마을공원),351846829,0,31,35,19,14,1,41,59,213519759,138327070,1517537,39318863,94026814,100396708,50952418,22322178,3
192,강남구 수서동,수서역,1288317044,0,25,39,23,13,1,57,43,1080988234,207328810,8790395,234592806,360940288,272535160,143787540,90105607,60
193,강남구 수서동,수서역,1560209092,0,25,37,21,15,2,55,45,1297649569,262559523,12504583,310808304,439459735,331665779,203421108,103934168,62
194,강남구 수서동,수서역,1900970010,0,25,34,22,18,1,51,49,1564220610,336749400,19809382,388906977,518110833,392871968,272900954,127367631,63
195,강남구 수서동,수서역,2775548257,0,19,29,22,24,6,45,55,2145500339,630047918,42714599,747559851,745435512,485580062,365832251,164124948,76
196,강남구 신사동,가로수길,5273547767,0,5,23,30,35,7,36,64,3399388088,1874159679,93455260,1821308091,1310642005,670307909,789844436,205620283,169
197,강남구 신사동,가로수길,6758505071,0,6,23,28,33,10,37,63,4403003130,2355501941,152188950,2362056119,1690163215,889843108,891817547,245247520,179
198,강남구 신사동,가로수길,5496311119,0,6,25,31,31,6,36,64,3680800227,1815510892,105204975,1900668944,1341199437,670591128,708505370,215920140,176
199,강남구 신사동,가로수길,5515976289,2,6,25,28,30,10,39,61,3644832791,1871143498,125999966,1953050095,1302196021,681418934,678485035,244317249,164
200,강남구 신사동,강남시장(동작구 강남시장),36510447,0,3,21,31,37,9,60,40,28057864,8452583,297944,12234378,11254219,2585768,6329385,2275369,5
201,강남구 신사동,강남시장(동작구 강남시장),86666890,0,8,34,16,26,17,45,55,48147168,38519722,1186824,28993716,16912739,12625237,24720819,2227555,6
202,강남구 신사동,강남시장(동작구 강남시장),62952721,0,6,29,26,27,12,70,30,42940166,20012555,1764699,23621445,12817669,8408991,14807341,1532576,8
203,강남구 신사동,강남시장(동작구 강남시장),10821283,0,19,29,28,22,3,76,24,7838499,2982784,63214,3082120,3526422,1124300,654714,270916,6
204,강남구 신사동,강남을지병원,660916565,0,18,34,32,14,2,59,41,591166470,69750095,611516,126790109,206114542,196430182,51003903,14318266,64
205,강남구 신사동,강남을지병원,684752862,0,19,38,27,12,4,60,40,576212817,108540045,2559091,139652844,196947375,164555338,55881506,42775979,65
206,강남구 신사동,강남을지병원,772317498,0,19,37,20,20,4,53,47,689773153,82544345,6519234,191212398,222248169,160771140,60972543,19324727,69
207,강남구 신사동,강남을지병원,1004639448,1,19,37,20,19,5,55,45,891858389,112781059,6882323,259312717,257418532,208834070,92584823,31090266,76
208,강남구 신사동,도산공원교차로,1162718231,0,20,41,26,10,2,60,40,963555380,199162851,1540032,153890766,264254888,383652780,75222933,35018977,48
209,강남구 신사동,도산공원교차로,1464760665,0,11,32,23,27,7,68,32,1079407979,385352686,3122089,154434171,277881309,597082689,124796896,62664116,50
210,강남구 신사동,도산공원교차로,1213599689,0,13,37,30,16,5,60,40,1099217312,114382377,4134836,168409408,251240103,413324538,74877126,71697496,50
211,강남구 신사동,도산공원교차로,1291348621,0,16,44,27,13,1,61,39,1020723964,270624657,3406199,197941281,281605997,495459308,77554117,33692602,48
212,강남구 신사동,도산공원북측,265442448,0,1,25,35,31,8,32,68,133714982,131727466,2217119,106369796,82359299,24273035,20202932,8241180,3
213,강남구 신사동,도산공원북측,329569086,0,0,34,33,23,9,31,69,183213795,146355291,2118940,114400637,99035534,34980355,28366439,11445998,3
214,강남구 신사동,도산공원북측,229316965,3,0,34,32,23,9,38,62,127783134,101533831,4683724,78138136,72651328,27883930,17565444,8078066,3
215,강남구 신사동,도산공원북측,223592536,0,0,28,32,25,15,29,71,110065263,113527273,2443614,69918146,79659982,23887774,13891166,6505949,3
216,강남구 신사동,성수대교남단,306350437,0,12,30,22,35,1,43,58,250140591,56209846,2858981,56163102,66645108,39551778,35003290,10380471,33
217,강남구 신사동,성수대교남단,379729120,0,16,29,21,14,20,45,55,325148132,54580988,3643341,61197317,88968962,45685990,53182228,10478245,35
218,강남구 신사동,성수대교남단,458527399,0,14,31,31,21,3,36,65,356571984,101955415,12571320,128361240,110265549,70358777,33397160,12834853,33
219,강남구 신사동,성수대교남단,389151734,0,15,30,31,23,2,34,66,287490778,101660956,14090860,119236784,85142788,59372664,28419997,9093992,21
220,강남구 신사동,신사역,2399207304,0,15,38,21,21,4,48,53,1954121547,445085757,20367674,624938952,682998564,351369505,239968541,105783475,126
221,강남구 신사동,신사역,3093060201,0,16,37,21,20,6,48,52,2558693230,534366971,32862587,807712572,846284921,498939158,321859990,158336525,142
222,강남구 신사동,신사역,3150496088,0,18,38,22,20,2,45,55,2597775628,552720460,48588489,865729908,835487785,464892889,359608203,163159638,148
223,강남구 신사동,신사역,2236409838,1,16,36,23,16,7,45,55,1878509187,357900651,27120539,583300907,542066583,321772995,239866923,110469497,120
224,강남구 신사동,신사은행나무공원,137139131,0,2,35,37,25,0,26,74,86119223,51019908,844094,54381143,49357065,11504628,8363832,3954841,13
225,강남구 신사동,신사은행나무공원,99904837,0,2,30,39,28,1,26,74,64506155,35398682,595195,41672396,35142936,8762146,7961882,2781709,14
226,강남구 신사동,신사은행나무공원,81526190,0,1,27,28,15,30,21,79,62470489,19055701,718926,23525998,19185855,29338849,3728365,1434953,11
227,강남구 신사동,신사은행나무공원,46426693,0,1,26,64,10,0,33,67,35801261,10625432,172353,12681473,6812426,2026306,1698385,810895,9
228,강남구 신사동,압구정역,1959645984,0,14,33,29,23,2,42,58,1413015958,546630026,35395883,460655381,495896157,359647061,243341836,114630121,118
229,강남구 신사동,압구정역,2649588594,0,14,33,27,23,3,43,57,1923462064,726126530,55598906,612437251,688463794,490604612,339119187,147781265,122
230,강남구 신사동,압구정역,2933451321,0,15,33,29,21,2,41,59,2195847969,737603352,88945459,798953360,692181800,526168365,355772589,157031967,128
